,opeidstring,school,pellrecip_2014,pellrecip_2015,pellrecip_2006,pellrecip_2007,pellrecip_2008,pellrecip_2009,pellrecip_2010,pellrecip_2011,pellrecip_2012,pellrecip_2013,pelldisburse_2014,pelldisburse_2015,pelldisburse_2006,pelldisburse_2007,pelldisburse_2008,pelldisburse_2009,pelldisburse_2010,pelldisburse_2011,pelldisburse_2012,pelldisburse_2013,seogrecip_2014,seogdisburse_2014,seogdisburse_2007,seogdisburse_2008,seogdisburse_2009,seogdisburse_2010,seogdisburse_2011,seogdisburse_2012,seogdisburse_2013,seogrecip_2007,seogrecip_2008,seogrecip_2009,seogrecip_2010,seogrecip_2011,seogrecip_2012,seogrecip_2013,teachrecip_2014,teachdisburse_2014,teachrecip_2015,teachdisburse_2015,teachdisburse_2009,teachdisburse_2010,teachdisburse_2011,teachdisburse_2012,teachrecip_2009,teachrecip_2010,teachrecip_2011,teachrecip_2012,iraqrecip_2014,iraqdisburse_2014,iraqrecip_2015,iraqdisburse_2015,workrecip_2014,workdisburse_2014,workdisburse_2007,workdisburse_2008,workdisburse_2009,workdisburse_2010,workdisburse_2011,workdisburse_2012,workdisburse_2013,workrecip_2007,workrecip_2008,workrecip_2009,workrecip_2010,workrecip_2011,workrecip_2012,workrecip_2013,avepell_2014,avepell_2013,avepell_2008,avepell_2009,avepell_2010,avepell_2011,avepell_2012,pellperc_2014,pellperc_2013,pellperc_2008,pellperc_2009,pellperc_2010,pellperc_2011,pellperc_2012,totalpellperc_2009,totalpellperc_2010,totalpellperc_2011,totalpellperc_2012,statelocalaidperc_2014,avestatelocalaid_2014,statelocalaidperc_2013,avestatelocalaid_2013,avestatelocalaid_2006,avestatelocalaid_2007,avestatelocalaid_2008,avestatelocalaid_2009,avestatelocalaid_2010,avestatelocalaid_2011,avestatelocalaid_2012,statelocalaidperc_2006,statelocalaidperc_2007,statelocalaidperc_2008,statelocalaidperc_2009,statelocalaidperc_2010,statelocalaidperc_2011,statelocalaidperc_2012
1980,362800,Texarkana College,604,575,1352,1224,1361,1421,1737,1677,2355,2388,921463,799449,2699165,2511576,3200776,3682512,5439032,5454502,7817822,8180211,89,79003,87000,68000,63875,70875,41625,64486,25641,111,87,105,100,59,144,63,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,38865,78225,91880,71084,112240,77687,83169,49269,63,64,47,56,36,54,11,4304,4249,1832,2017,3944,4396,4190,0.83,0.79,0.49,0.49000001,0.54,0.37,0.71,0.06,0.35,0.32,0.4,0.16,1806,0.22,1228,1099,1238,805,1016,1606,1689,1404,0.129999995,0.129999995,0.12,0.100000002,0.11,0.06,0.15
1981,363000,Prairie View A & M University,152,167,3314,3265,3651,3925,4520,5066,5065,4730,226217,272050,9408617,9713320,11649406,13643067,20086003,22320416,21529781,20247311,1113,1827469,1763841,1724867,1652086,1558283,1880705,1259729,1762684,2121,1263,1151,925,919,665,1302,NA,NA,1,1854,8000,272500,69052,15000,4,90,21,5,NA,NA,0,0,736,1216525,956862,1504154,972890,1381776,1067731,1243259,1417360,572,606,499,710,628,706,838,4666,4495,3202,3667,4555,4420,4479,0.73,0.74,0.37,0.660000026,0.68,0.74,0.74,0.56,0.62,0.67,0.68,0.66,3718,0.48,3517,2936,4127,3482,5023,3763,4821,5078,0.170000002,0.330000013,0.25,0.560000002,0.5,0.4,0.29
1982,363100,Tarleton State University,535,407,2712,2606,2696,2771,3484,4282,4740,4967,687723,551661.72,6791919,6637374,7360559,8316637,13761288,17053128,17481272,18374351,322,277934,307066,339496,361661,375949,249389,354182,453841,322,381,291,339,212,299,373,NA,NA,0,0,NA,NA,3000,NA,NA,NA,1,NA,NA,NA,0,0,109,254662,114101,124891,171416,167268,177040,212184,195698,88,79,58,74,67,76,68,4271,4099,3700,3492,3858,4075,4792,0.38,0.41,0.23,0.230000004,0.27,0.25,0.26,0.36,0.41,0.47,0.5,0.48,3495,0.46,3903,3740,4158,4239,4023,4226,4301,4155,0.119999997,0.569999993,0.21,0.200000003,0.22,0.2,0.19
1983,363200,Texas A & M University-College Station,380,409,6900,6629,6698,6708,8142,9337,9559,9554,529274.74,507996.44,17903755,17491957,19227982,22054695,33552159,39088939,37305530,38281885,1991,998447,1995486,1952963,1846440,1788330,1716854,1179811,772895,2965,4098,3957,3666,3532,2421,1594,48,68888.85,2,5099,455687,707947,843337,834311,125,199,232,240,NA,NA,0,0,806,1655101,1419820,1460272,1347218,1630740,1435444,1532447,1476604,784,915,808,915,789,771,756,4491,4393,3028,3467,4374,4319,4261,0.24,0.26,0.16,0.180000007,0.21,0.23,0.23,0.16,0.19,0.22,0.22,0.38,4840,0.41,4511,4018,4459,5001,4978,4104,4656,4042,0.259999991,0.25,0.26,0.239999995,0.36,0.37,0.39
1984,363400,Texas State Technical College,3208,3057,2715,2520,2402,2580,3776,3910,3637,2959,4673174.03,4414175.53,5620564,5385000,5513878,6611396,17637613,18797205,11479012,9430245,261,189674,184874,230303,124789,122225,103889,111575,123131,252,358,187,177,112,152,147,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,109,182454,186343,216734,288004,307546,181969,218070,217322,222,195,207,196,161,128,125,NA,NA,2630,3016,5457,5472,3534,NA,NA,0.5,0.519999981,0.64,0.66,0.68,0.38,0.41,0.61,0.63,NA,NA,NA,NA,1290,1199,1633,1486,2085,2137,2169,0.300000012,0.330000013,0.41,0.400000006,0.45,0.33,0.47
1985,363400,Texas State Technical College-Waco,3208,3057,2715,2520,2402,2580,3776,3910,3637,2959,4673174.03,4414175.53,5620564,5385000,5513878,6611396,17637613,18797205,11479012,9430245,261,189674,184874,230303,124789,122225,103889,111575,123131,252,358,187,177,112,152,147,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,109,182454,186343,216734,288004,307546,181969,218070,217322,222,195,207,196,161,128,125,3698,3603,2630,3016,5457,5472,3534,0.58,0.6,0.5,0.519999981,0.64,0.66,0.68,0.38,0.41,0.61,0.63,0.34,3874,0.46,2011,1290,1199,1633,1486,2085,2137,2169,0.300000012,0.330000013,0.41,0.400000006,0.45,0.33,0.47
1986,363500,Texas Chiropractic College Foundation Inc,NA,NA,24,12,8,7,NA,NA,NA,NA,NA,NA,34662,25168,15670,20409,NA,NA,NA,NA,0,0,46667,28044,34300,NA,NA,NA,0,18,11,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,98077,102034,75066,98115,87073,123703,134700,79707,86,62,70,74,87,90,76,NA,NA,1958,NA,NA,NA,NA,NA,NA,0.35,NA,NA,0,NA,0.29,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA
1987,363600,Texas Christian University,15,11,932,875,877,864,1115,1354,1323,1292,47971,34470,2457016,2396767,2445237,2851281,4451929,5325009,5215673,4995960,184,685027,916124,1068083,890849,990641,954400,635065,878198,533,562,579,545,510,311,288,NA,NA,1,1854,NA,24000,12000,4000,NA,6,3,1,NA,NA,0,0,655,876825,708843,679145,698036,844623,819797,837777,830251,509,510,573,1204,696,648,601,4292,4017,3098,3423,4282,4105,3880,0.09,0.1,0.11,0.109999999,0.14,0.14,0.11,0.11,0.14,0.16,0.15,0.09,3719,0.09,3964,3543,3581,3342,3538,4009,3739,3801,0.189999998,0.200000003,0.17,0.189999998,0.18,0.16,0.11
1988,363600,Brite Divinity School,15,11,932,875,877,864,1115,1354,1323,1292,47971,34470,2457016,2396767,2445237,2851281,4451929,5325009,5215673,4995960,184,685027,916124,1068083,890849,990641,954400,635065,878198,533,562,579,545,510,311,288,NA,NA,1,1854,NA,24000,12000,4000,NA,6,3,1,NA,NA,0,0,655,876825,708843,679145,698036,844623,819797,837777,830251,509,510,573,1204,696,648,601,NA,NA,3098,3423,4282,4105,3880,NA,NA,0.11,0.109999999,0.14,0.14,0.11,0.11,0.14,0.16,0.15,NA,NA,NA,NA,3543,3581,3342,3538,4009,3739,3801,0.189999998,0.200000003,0.17,0.189999998,0.18,0.16,0.11
1989,363700,Jarvis Christian College,61,48,544,584,571,529,553,466,465,513,166022,146753.01,1476531,1655716,1737141,1757423,2287338,1971786,1946687,2328557,254,287385,257564,284733,282660,287860,287860,287860,287860,496,269,162,176,174,164,167,NA,NA,0,0,4000,10984,4758,2000,1,3,3,1,NA,NA,0,0,269,265765,236240,246364,173677,221146,224231,229515,211505,213,157,166,182,152,186,128,4525,4261,3185,3385,3431,4572,4509,0.89,0.85,0.76,0.680000007,0.83,0.9,0.9,0.73,0.75,0.82,0.92,0.41,2892,0.41,2609,3400,4954,3211,2673,4430,4467,2338,0.839999974,0.660000026,0.62,0.660000026,0.94,0.81,0.66
