,opeidstring,school,pellrecip_2014,pellrecip_2015,pellrecip_2006,pellrecip_2007,pellrecip_2008,pellrecip_2009,pellrecip_2010,pellrecip_2011,pellrecip_2012,pellrecip_2013,pelldisburse_2014,pelldisburse_2015,pelldisburse_2006,pelldisburse_2007,pelldisburse_2008,pelldisburse_2009,pelldisburse_2010,pelldisburse_2011,pelldisburse_2012,pelldisburse_2013,seogrecip_2014,seogdisburse_2014,seogdisburse_2007,seogdisburse_2008,seogdisburse_2009,seogdisburse_2010,seogdisburse_2011,seogdisburse_2012,seogdisburse_2013,seogrecip_2007,seogrecip_2008,seogrecip_2009,seogrecip_2010,seogrecip_2011,seogrecip_2012,seogrecip_2013,teachrecip_2014,teachdisburse_2014,teachrecip_2015,teachdisburse_2015,teachdisburse_2009,teachdisburse_2010,teachdisburse_2011,teachdisburse_2012,teachrecip_2009,teachrecip_2010,teachrecip_2011,teachrecip_2012,iraqrecip_2014,iraqdisburse_2014,iraqrecip_2015,iraqdisburse_2015,workrecip_2014,workdisburse_2014,workdisburse_2007,workdisburse_2008,workdisburse_2009,workdisburse_2010,workdisburse_2011,workdisburse_2012,workdisburse_2013,workrecip_2007,workrecip_2008,workrecip_2009,workrecip_2010,workrecip_2011,workrecip_2012,workrecip_2013,avepell_2014,avepell_2013,avepell_2008,avepell_2009,avepell_2010,avepell_2011,avepell_2012,pellperc_2014,pellperc_2013,pellperc_2008,pellperc_2009,pellperc_2010,pellperc_2011,pellperc_2012,totalpellperc_2009,totalpellperc_2010,totalpellperc_2011,totalpellperc_2012,statelocalaidperc_2014,avestatelocalaid_2014,statelocalaidperc_2013,avestatelocalaid_2013,avestatelocalaid_2006,avestatelocalaid_2007,avestatelocalaid_2008,avestatelocalaid_2009,avestatelocalaid_2010,avestatelocalaid_2011,avestatelocalaid_2012,statelocalaidperc_2006,statelocalaidperc_2007,statelocalaidperc_2008,statelocalaidperc_2009,statelocalaidperc_2010,statelocalaidperc_2011,statelocalaidperc_2012
1,5.00E+05,Pierce College-Fort Steilacoom,488,649,NA,NA,NA,NA,NA,NA,NA,NA,574335.11,719689.35,NA,NA,NA,NA,NA,NA,NA,NA,424,167778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,81,145046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3980,4029,NA,NA,NA,NA,NA,0.45,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,2991,0.3,2797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,100200,Alabama A & M University,106,71,3587,3120,2873,2861,3178,3639,3201,3175,183298.03,124914.38,9529431,9524801,9110415,10254938,14800090,16678977,14306354,13765115,117,219050,584974,401988,332626,235628,264403,192593,223853,279,173,140,129,184,167,131,1,2820,3,3290,NA,NA,14000,33056,NA,NA,6,NA,NA,NA,0,0,121,255489,455660,442821,364622,402240,250783,269991,229778,184,198,143,141,83,110,92,4818,4807,3386,3812,4797,4654,4810,0.8,0.81,0.31,0.49000001,0.7,0.75,0.79,0.54,0.63,0.69,0.7,0.01,1250,0.01,1312,653,909,1443,1459,1111,1557,887,0.02,0.159999996,0.11,0.039999999,0.04,0.04,0.06
3,100300,Faulkner University,364,335,1542,1593,1780,1850,2102,2125,2178,2003,783484.75,722468,3773245,3999106,4904927,5769573,8620508,9164934,8075632,7419394,269,199454,283429,284046,290660,345000,279969,235216,213052,359,374,384,466,360,251,288,NA,NA,0,0,NA,4000,6000,4000,NA,1,2,NA,NA,NA,0,0,209,278180,195707,186457,228969,211364,236502,256863,313660,134,135,149,160,165,192,237,3914,3961,2701,3111,3398,2276,3714,0.5,0.57,0.52,0.319999993,0.51,0.4,0.44,0.48,0.77,0.58,0.77,0.54,561,0.64,482,216,584,1095,2406,569,259,660,0.620000005,0.649999976,0.62,0.239999995,0.43,0.6,0.62
4,100400,University of Montevallo,56,55,749,673,732,796,961,1083,1124,1163,88475,74596,1940963,1806797,2190505,2718392,4213683,4798605,4557328,4652761,156,157450,185870,187868,173670,164850,164980,172159,169344,179,179,156,149,158,170,154,NA,NA,0,0,NA,22000,23500,19500,NA,8,7,NA,NA,NA,0,0,106,138353,132160,131949,136746,152667,130544,142526,146807,113,99,92,109,91,104,110,4638,4291,3104,3597,4262,4752,4512,0.38,0.38,0.24,0.310000002,0.35,0.35,0.39,0.29,0.34,0.4,0.41,0.01,1100,0.01,1084,1499,1200,1128,1182,943,1257,1200,0.079999998,0.01,0.04,0.02,0.02,0.02,0.02
5,100500,Alabama State University,288,258,3501,3500,3689,3731,4038,4208,4315,4512,460397,441172,10203395,10420257,11755002,13028399,18583251,19691974,18124063,18654503,472,434330,638800,760400,664798,493823,537048,582567,375700,660,782,668,398,456,552,301,12,14368,8,12978,31000,101500,147351,94500,12,40,54,NA,NA,NA,0,0,707,933097,1255004,1147543,1417069,1151350,1426680,1471184,1264046,1267,2765,1160,1034,1485,1024,794,4670,4739,3430,3791,4941,4689,4723,0.71,0.76,0.51,0.730000019,0.73,0.82,0.79,0.7,0.74,0.73,0.78,0.07,7381,0.11,5649,2535,2449,1469,2618,3839,4158,3692,0.039999999,0.059999999,0.13,0.150000006,0.07,0.14,0.17
6,100700,Central Alabama Community College,301,301,1387,1334,1428,1508,1884,2107,2016,1709,516802.7,483416.12,3220611,3249135,3697834,4274302,7411344,7832897,7084172,6087558,142,72993,29812,50722,60000,69900,76500,92400,80000,45,72,58,100,135,151,160,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,20,56094,52804,67313,44731,62378,60617,43799,48758,35,28,20,22,29,14,21,4255,4397,3144,3611,5360,5109,4332,0.67,0.38,0.5,0.479999989,0.63,0.69,0.72,0.47,0.55,0.62,0.64,0.05,1248,0,600,1627,1468,823,885,754,577,572,0.050000001,0.039999999,0.11,0.090000004,0.06,0.06,0.09
7,100800,Athens State University,404,405,982,1031,1122,1169,1494,1679,1772,1642,537665.62,528148,2227152,2311921,2684607,3280503,5689928,6487567,5903674,5600115,93,84561,83131,75633,90724,92570,74961,82802,88654,92,85,96,103,81,94,104,5,6857,5,5690,162000,171934,211500,186059,46,57,67,NA,NA,NA,0,0,21,58119,51576,81976,51060,104435,67367,65336,54629,19,25,15,35,22,24,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.35,0.38,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
8,100900,Auburn University,274,244,2781,2606,2824,2771,3298,3827,3785,3615,433638,387217,7385330,7017618,8119698,9065416,14032515,16159783,14720502,14058359,674,615328,1748910,1430869,1133834,648230,698549,542153,531534,1347,1145,1101,713,760,587,585,11,20812,7,10198,98500,130723,185250,154052,29,45,57,NA,NA,NA,0,0,230,723311,834996,1001262,1021462,1062758,947464,858617,763935,402,417,407,353,295,264,229,4330,4201,4215,3442,4298,4347,4137,0.13,0.13,0.12,0.090000004,0.11,0.14,0.13,0.13,0.15,0.18,0.18,0,2180,0.01,1243,6622,5382,4230,6094,7157,9255,7971,0.050000001,0.039999999,0.04,0.02,0.02,0.02,0.02
9,101200,Birmingham Southern College,2,0,156,168,219,243,331,370,285,263,5342,0,380587,444392,649357,851386,1453554,1547721,1154377,1016429,104,133200,247836,289583,227263,134500,142733,145209,154569,101,118,119,76,78,165,133,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,221,210096,211759,267238,244822,206738,174196,238198,223695,153,219,238,166,211,241,209,4241,4062,3480,3522,4258,3961,3989,0.2,0.21,0.16,0.159999996,0.22,0.27,0.23,0.17,0.21,0.24,0.22,0.25,491,0.26,433,390,531,587,525,494,487,443,0.469999999,0.479999989,0.43,0.430000007,0.45,0.49,0.39
10,101300,John C Calhoun State Community College,1273,1011,3248,2962,3175,3612,5351,6569,6749,5835,1715308,1383022,6798558,6296715,7311093,9448159,17793521,22085218,21612200,18357550,618,364166,348214,216624,256789,278053,257571,307115,377914,561,362,531,582,466,518,703,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,64,227719,220337,159049,181112,213131,220511,290655,204276,68,53,49,65,64,86,62,4917,4863,1681,3409,4482,4571,4482,0.52,0.55,0.36,0.349999994,0.48,0.53,0.59,0.26,0.34,0.4,0.43,0.01,3937,0.02,3199,2406,703,800,1856,989,3358,1669,0.039999999,0.119999997,0.01,0.039999999,0.06,0.02,0.05
11,101500,Enterprise State Community College,331,304,794,775,901,1114,1593,1856,1802,1615,504957.25,464991.05,1721604,1764588,2206699,3097702,6513634,7816223,6671927,5722890,131,73200,51200,42800,42000,35600,49600,44800,60000,62,59,72,47,87,79,97,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,50,78026,76890,108031,71955,98359,97071,95874,99752,58,64,53,68,63,61,51,4280,4296,1601,3409,5224,4907,4434,0.58,0.63,0.37,0.49000001,0.54,0.61,0.66,0.33,0.41,0.47,0.52,0.01,1644,0.02,383,2218,1176,1258,1659,400,4018,591,0.200000003,0.189999998,0.2,0.300000012,0.02,0.3,0.05
12,101600,University of North Alabama,129,126,1609,1561,1628,1758,2242,2460,2533,2493,150526,163599,4269176,4254403,4689944,5746209,9292173,10282520,9842202,9774067,579,170575,157807,174295,127917,157807,196302,180450,182787,585,597,472,490,708,626,681,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,180,288835,260474,243477,320794,201191,254533,303576,302995,209,163,183,133,154,171,176,4364,3813,3742,3616,4308,3886,3833,0.43,0.53,0.3,0.340000004,0.48,0.58,0.61,0.3,0.33,0.4,0.38,0.01,255,0.02,455,302,300,1962,1239,285,351,352,0.039999999,0.059999999,0.05,0.079999998,0.03,0.04,0.04
13,101700,Gadsden State Community College,1078,937,2453,2394,2780,3567,5046,5706,5561,4609,1480746.23,1292175.02,5706488,5669686,7113762,9959129,18609455,21781885,18592175,14951105,426,272600,130444,113567,110488,177399,129064,247581,209817,473,214,242,322,239,445,433,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,78,149190,98932,132453,100811,125129,142391,165858,173163,88,72,62,82,77,103,107,5126,5078,3359,3533,4850,4935,5150,0.7,0.71,0.45,0.49000001,0.63,0.69,0.7,0.42,0.51,0.6,0.62,0.04,2286,0.04,1437,1775,1878,716,1044,1377,1337,616,0.029999999,0.059999999,0.11,0.079999998,0.07,0.07,0.11
14,101800,George C Wallace State Community College-Dothan,1056,989,1948,1766,1966,2338,3347,3796,3918,3336,1456039.69,1355999.51,3382477,3203252,3735804,5292190,12936549,14492889,12651725,11116571,274,127858,149441,124680,121266,119357,116217,116579,124466,319,249,259,382,251,299,327,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,64,127446,89276,106419,97726,104010,107423,130544,129070,56,52,44,55,47,62,58,5104,5004,2893,3208,5241,5004,5015,0.7,0.64,0.47,0.540000022,0.63,0.67,0.69,0.43,0.51,0.57,0.6,0.05,3062,0.06,3947,2356,2195,1799,1638,298,326,1660,0.259999991,0.340000004,0.39,0.109999999,0.05,0.04,0.13
15,101900,Huntingdon College,130,133,244,263,311,331,430,514,527,536,206987,197977,582212,625088,797256,1036778,1687834,1955008,2033976,2032046,102,92714,130775,136952,92714,92714,94662,92714,92714,148,176,171,102,102,101,104,1,1982,0,0,30000,42000,38000,44000,8,11,10,NA,NA,NA,0,0,176,112011,93012,100875,100375,129171,69642,110412,99994,143,146,153,188,101,156,162,4217,3911,2789,3433,3992,3922,4136,0.39,0.48,0.34,0.300000012,0.41,0.41,0.44,0.19,0.35,0.41,0.42,0.56,471,0.53,384,350,489,758,578,497,483,344,0.589999974,0.639999986,0.69,0.670000017,0.7,0.64,0.66
16,102000,Jacksonville State University,232,231,2889,2846,3166,3250,3707,4160,4242,3958,290912,272847.48,7757013,7736173,9129669,10558022,15579137,17524326,16577688,15355393,471,207323,491418,573517,450000,305000,263850,211043,235325,716,889,1023,576,475,384,438,5,5175,3,1855,NA,98500,105000,119000,NA,35,45,NA,NA,NA,0,0,185,405337,431482,405479,483288,418253,427146,356542,401196,455,239,317,170,198,160,177,4331,4361,3195,3733,4540,4531,4439,0.45,0.48,0.45,0.419999987,0.49,0.48,0.48,0.37,0.42,0.46,0.47,0.22,1656,0.21,1506,369,425,953,1381,1532,1469,1526,0.029999999,0.029999999,0.29,0.230000004,0.18,0.15,0.18
17,102100,Jefferson Davis Community College,245,227,711,637,676,805,1103,1059,955,805,328981.41,307606.94,1533248,1509917,1667420,2148844,3714879,3646994,2982390,2747379,53,31400,54245,26246,20438,39656,29554,35494,39500,91,90,52,79,59,73,78,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,32027,54468,33842,37706,26214,38016,36129,29814,51,28,27,24,24,23,18,4423,4394,3335,3695,4798,5103,5020,0.58,0.49,0.34,0.389999986,0.53,0.55,0.5,0.43,0.55,0.6,0.57,0.03,620,0.03,525,2457,2719,2376,365,518,697,710,0.449999988,0.5,0.52,0.119999997,0.03,0.03,0.04
18,102200,Jefferson State Community College,1144,939,2155,1866,1750,2036,2831,4352,4576,4189,1605317,1315614,4420787,4003890,3901239,5049638,8631244,13962030,13999850,12981128,640,426267,323393,477277,353459,333132,324667,369023,437100,667,693,641,883,871,849,811,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,120,386771,326838,273303,363458,446777,396191,333044,351069,137,110,125,146,126,110,111,4321,4252,2904,3337,4299,4453,4106,0.52,0.57,0.25,0.310000002,0.32,0.54,0.59,0.17,0.2,0.32,0.37,0.14,830,0.06,1405,1279,1108,1123,1104,1029,1152,1637,0.07,0.07,0.17,0.180000007,0.1,0.07,0.05
19,102300,Judson College,19,62,133,124,108,133,130,140,186,177,31336.46,94147,310212,306072,300309,409419,541559,627192,729573,732834,27,14585,26100,22400,20400,19200,18000,8488,14476,36,33,30,26,25,14,19,1,1486,0,0,4000,20000,14000,12000,1,5,4,NA,NA,NA,0,0,61,64204,64121,64204,64204,64204,64204,64204,64204,73,48,60,56,78,72,96,3369,4451,3107,3577,4565,4717,4597,0.52,0.64,0.39,0.419999987,0.43,0.52,0.64,0.4,0.41,0.43,0.49,0.83,947,0.84,480,353,426,928,696,427,481,308,0.759999991,0.839999974,0.77,0.720000029,0.82,0.77,0.81
20,102400,University of West Alabama,69,74,972,1075,1231,1240,1401,1457,1500,1281,100667,89084,2795169,3192943,3661882,3988799,6084996,6464864,5720534,5013942,137,93985,114005,161483,233769,220529,128181,132158,150060,197,260,358,305,149,208,199,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,135,370771,173041,199768,307490,410299,395955,341628,395221,203,122,135,168,136,132,159,4499,4344,3451,3278,5181,4557,4054,0.58,0.59,0.46,0.600000024,0.6,0.61,0.6,0.43,0.58,0.64,0.62,0.03,530,0.02,688,1633,600,738,636,1145,630,592,0.200000003,0.01,0.1,0.090000004,0.04,0.02,0.04
21,102600,Marion Military Institute,1,2,67,88,118,154,218,219,198,187,2822.5,8145,194726,228435,359820,518264,838765,909575,804899,787580,35,14414,27205,26835,24548,25749,29200,10200,16200,35,33,51,128,82,28,34,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,33,19992,16100,9047,18309,20094,18838,17496,17623,34,27,33,31,34,24,29,4540,4568,3446,3425,3889,4580,4269,0.33,0.42,0.27,0.300000012,0.43,0.51,0.38,0.3,0.41,0.45,0.44,0.03,4413,0.02,5713,NA,8443,750,625,2535,2126,1456,0,0.829999983,0.08,0.01,0.02,0.02,0
22,102800,Miles College,401,115,1638,1553,1613,1607,1614,1568,1624,1576,989525.97,233395.34,4784924,4653922,5124746,5835013,7361336,7398640,6917012,6758183,416,358896,365306,364280,353079,351779,304388,333130,342911,454,528,451,421,348,413,397,NA,NA,1,927,29672,8000,NA,NA,8,3,NA,NA,NA,NA,0,0,295,263807,205637,207045,295538,239322,275320,270867,278390,387,328,332,230,260,278,286,4579,4537,3770,3914,4606,4942,4400,0.9,0.88,0.98,0.810000002,0.83,0.9,0.88,0.78,0.8,0.83,0.85,0.22,545,0.1,674,250,519,624,523,466,775,666,0.219999999,0.330000013,0.25,0.409999996,0.33,0.26,0.29
23,102900,University of Mobile,158,144,791,630,581,599,756,849,874,812,214059,215927,1794807,1679463,1647917,1878089,2742210,3187306,3161083,2936674,91,107839,177443,92864,200272,139220,143056,137161,115917,213,119,256,144,266,126,79,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,76,130090,69722,116049,116541,159909,117756,127466,135146,80,112,102,87,128,70,74,4573,4322,1525,3475,4177,3896,4174,0.34,0.34,0.25,0.270000011,0.41,0.39,0.39,0.38,0.49,0.55,0.53,0.5,510,0.44,427,661,522,400,844,509,471,314,0.449999988,0.360000014,0.54,0.479999989,0.53,0.52,0.49
24,103000,Bishop State Community College,707,619,3620,2314,1219,1958,2719,3169,3467,3380,1242478.04,1071042.01,9328137,5209503,3211770,5488778,9398236,12325067,11904638,11419278,291,159543,211995,226300,193700,108600,108821,218100,101519,296,274,228,203,199,406,188,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,183655,185120,87933,145977,154594,196654,200562,175162,135,79,90,77,108,111,90,4376,4213,3164,3887,4460,5140,4220,0.85,0.88,0.7,0.730000019,0.78,0.85,0.89,0.39,0.48,0.56,0.61,0.05,2166,0.06,1580,2097,2006,1474,2250,3017,1443,1587,0.289999992,0.259999991,0.41,0.029999999,0.03,0.09,0.12
25,103100,Northeast Alabama Community College,648,456,1406,1438,1497,1964,2760,2858,2694,2464,1020620.71,722586.87,3158619,3426448,3766664,5528857,11284951,11920195,9388854,8713322,126,64086,59703,34569,39475,39800,37200,55400,63149,180,104,120,115,116,155,165,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,43,80361,53792,75798,71397,94405,80265,94819,98699,56,45,41,59,36,44,45,4323,4261,2630,3697,5204,5001,5015,0.75,0.75,0.74,0.680000007,0.76,0.77,0.73,0.51,0.61,0.63,0.64,0.02,697,0.03,648,344,1172,1029,2263,434,587,982,0,0.460000008,0.57,0.07,0.03,0.04,0.03
26,103300,Oakwood University,17,1,775,741,753,778,854,982,1075,1084,52947,2390,2218469,2179209,2414183,2713755,3436002,3966282,4369189,4463616,197,293785,278941,216622,288059,263977,278941,278941,247792,156,109,197,157,164,174,158,NA,NA,0,0,NA,8000,16000,24500,NA,2,4,NA,NA,NA,0,0,75,194727,223794,210943,200677,217454,204853,224011,186396,129,62,61,98,88,95,75,4389,4363,3460,3557,4315,3846,4376,0.46,0.53,0.35,0.330000013,0.43,0.5,0.45,0.4,0.42,0.49,0.51,0.18,851,0.01,180,527,465,1822,1154,968,2256,132,0.039999999,0.029999999,0.04,0.039999999,0.05,0.12,0.04
27,103400,Alabama Southern Community College,243,214,897,815,788,902,1130,1336,1229,1002,316321.21,296323.66,2163081,2000144,1907062,2493598,4225604,5263873,4351742,3541312,85,34165,39037,52346,46259,29128,39388,31279,40879,100,76,83,77,86,50,80,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,27,40314,53163,45230,43708,39848,37748,43151,42441,55,40,33,29,29,32,26,4479,4457,3812,4671,4948,5164,5041,0.62,0.64,0.46,0.569999993,0.63,0.76,0.72,0.47,0.55,0.64,0.67,0.04,858,0.04,933,1558,1662,1367,5499,357,398,397,0.140000001,0.170000002,0.21,0.119999997,0.07,0.03,0.05
28,103600,Samford University,16,1,360,352,357,337,427,517,475,463,26171,1432,936730,934337,940593,1063293,1628380,2002900,1812543,1731720,221,212144,330361,395085,315326,227925,214288,234599,279566,272,230,160,213,187,246,267,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,285,342186,329379,299616,374225,579478,382896,420217,379979,263,254,292,399,283,284,267,4194,3930,2862,3566,4018,4215,4394,0.14,0.14,0.1,0.119999997,0.15,0.17,0.13,0.11,0.14,0.17,0.16,0.28,451,0.23,540,356,492,864,645,539,425,394,0.280000001,0.270000011,0.26,0.259999991,0.27,0.3,0.3
29,103800,Snead State Community College,251,287,1084,1038,1132,1187,1539,1676,1717,1698,428089,481276,2592487,2547684,2951884,3499537,5772600,6258444,6123941,6022209,49,33732,54035,27258,76250,78898,84433,36462,40402,97,46,113,93,85,79,71,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,36,63742,58380,84419,66519,86563,107805,60782,70133,47,51,47,54,53,38,34,4260,4259,3177,3414,4758,4778,4228,0.65,0.64,0.5,0.449999988,0.61,0.62,0.63,0.41,0.49,0.53,0.58,0.01,2911,0.01,1746,NA,NA,505,443,500,553,721,0,0,0.05,0.029999999,0,0.06,0.02
30,104000,Southern Union State Community College,632,639,1727,1638,1681,1960,2371,2658,2892,2808,959815.26,979654.13,4143307,4052216,4488487,5943809,9392282,10376922,10738643,10460396,148,103712,85124,78410,107124,102334,107109,91913,143977,151,89,145,125,137,112,209,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,90,96154,125289,130694,91338,124106,107417,107950,137539,175,166,116,121,106,84,149,4462,4464,3178,3664,4920,4822,4402,0.61,0.6,0.37,0.400000006,0.51,0.56,0.58,0.3,0.35,0.39,0.44,0.02,618,0.01,846,1419,1529,1336,3139,698,485,857,0.170000002,0.170000002,0.17,0.109999999,0.02,0.03,0.01
31,104100,Spring Hill College,12,18,368,348,390,372,456,550,507,412,21606,35925.46,899725,904940,1132027,1244592,1843465,2193161,2062341,1651614,304,141323,185901,194181,197236,171448,165595,143023,141323,262,269,316,275,291,348,340,NA,NA,0,0,NA,36000,49500,41834,NA,11,14,NA,NA,NA,0,0,112,173171,154178,154871,135064,220819,267088,137361,183729,197,199,171,227,280,153,218,4523,4267,3300,3815,4265,4385,4724,0.35,0.33,0.28,0.270000011,0.33,0.44,0.37,0.26,0.32,0.38,0.37,0.36,661,0.27,377,400,569,769,755,430,399,402,0.300000012,0.449999988,0.44,0.449999988,0.4,0.42,0.39
32,104400,Stillman College,62,33,652,619,713,813,863,867,838,757,98555.3,61495.85,1998672,1939906,2368757,2957656,4210543,4301037,3793698,3258208,350,352041,307799,312537,315036,306399,308168,331869,314865,295,335,423,424,369,362,368,1,2000,0,0,6000,8000,16000,16000,2,2,4,NA,NA,NA,0,0,147,160076,169447,217488,217542,215652,213417,171041,204184,149,177,180,170,162,173,165,4143,5017,2895,3799,4246,4408,5125,0.64,0.74,0.69,0.819999993,0.69,0.82,0.72,0.79,0.83,0.82,0.78,0.52,232,0.34,388,390,504,624,464,475,569,346,0.930000007,0.439999998,0.57,0.889999986,0.4,0.42,0.43
33,104600,Talladega College,18,58,298,251,295,435,516,645,550,801,47143.96,156518,832185,794331,1003301,1632039,2258515,3042672,2373741,3547672,114,269606,306247,242500,354542,303391,317930,313120,330174,278,278,180,158,183,243,240,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,94,171012,116230,190103,167633,128620,166809,115787,130542,165,165,125,79,76,109,106,5645,4110,3033,262,4454,4096,4855,0.8,0.98,0.68,0.680000007,0.73,0.77,0.57,0.61,0.76,0.99,0.72,0.46,2620,0.12,3295,1873,NA,NA,NA,2529,1876,3435,0.949999988,0,0,0,0.03,0.64,0.07
34,104700,Troy University,1259,1113,7272,7626,8031,8875,11707,12617,11581,9662,1594674,1418744,17914599,19076641,21580239,25924914,41575164,45287972,40450010,33491156,255,490711,734295,907148,964764,1072005,668029,692653,896153,353,475,471,563,351,362,449,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,400,739840,657613,854373,996486,1259316,1078758,1024788,1165936,486,510,518,574,513,518,537,4749,4676,3608,3909,4949,4968,4770,0.43,0.48,0.45,0.419999987,0.5,0.55,0.54,0.34,0.42,0.47,0.48,0,2070,0.01,2222,2000,2000,3560,2559,1262,2000,2002,0,0,0.07,0.039999999,0.01,0.03,0.02
35,105000,Tuskegee University,30,38,1271,1234,1293,1281,1444,1612,1709,1645,61162,64338,3766552,3778029,4265538,4712710,6649095,7493633,7691336,7244142,516,1188664,1155361,1233272,1074758,995745,1144041,1153549,1177400,410,542,484,449,520,495,545,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,537,886357,859549,1187345,1190941,967179,987022,795268,762598,435,548,607,512,530,447,452,2296,2840,4337,2891,4672,4732,4659,0.6,0.54,0.2,0.209999993,0.63,0.69,0.65,0.54,0.48,0.61,0.61,0,NA,0,NA,NA,NA,NA,240,4298,4905,4364,0,0,0,0.07,0.12,0.16,0.06
36,105100,The University of Alabama,529,531,3619,3817,3930,4187,5343,6037,6385,6321,725102,796551,9795803,10509578,11432716,13960309,21978677,24806372,24948027,24491939,1035,1203567,1015297,885491,973386,1011295,1358516,1205854,1205827,1152,975,1039,1067,1413,1081,1002,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,583,1207258,1490008,1311040,1344208,1350720,1165436,1250583,1271133,707,620,567,501,441,489,545,4210,4159,2989,3589,4327,4488,4224,0.18,0.18,0.13,0.140000001,0.19,0.21,0.2,0.17,0.21,0.23,0.23,0.01,683,0.03,8877,700,700,633,1088,732,570,701,0,0.01,0.04,0.02,0.01,0.04,0.05
37,105200,University of Alabama at Birmingham,474,562,3413,3194,3074,2876,3495,4224,4539,4422,586098,701519.61,9012517,8671887,8864686,9468517,14670953,17931072,17417419,16910513,662,851838,1122538,1102610,896912,810611,691649,618871,708107,913,564,732,640,488,448,577,2,1455,6,9926,36500,83250,183597,168750,10,24,60,NA,NA,NA,0,0,501,1215412,1118982,888377,1056169,1243111,1343752,1420089,1267472,515,463,502,521,588,599,530,4443,4363,3240,3784,4525,4742,4437,0.34,0.36,0.28,0.25,0.3,0.37,0.37,0.25,0.29,0.34,0.37,0,3790,0,9075,400,806,983,1308,1339,1028,4397,0.02,0.02,0.08,0.01,0.01,0.01,0
38,105500,University of Alabama in Huntsville,245,158,1536,1459,1521,1545,1928,2103,2171,2078,323251,206473,3840321,3755467,4223044,4831757,7730529,8520077,8155049,7732644,87,154896,233000,194885,195155,189545,191876,174501,178372,272,207,209,181,154,109,97,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,70,212487,151031,173178,239139,296084,199927,224108,199013,79,93,113,109,71,77,74,4699,4480,3156,3568,5956,5999,4620,0.25,0.31,0.23,0.200000003,0.27,0.34,0.32,0.23,0.28,0.32,0.33,0.01,1625,0.01,1900,1722,1476,974,1570,1507,1781,2057,0.239999995,0.159999996,0.03,0.02,0.02,0.01,0.02
39,105700,University of South Alabama,400,391,3303,3119,3234,3238,4031,4666,4724,4730,587170,552731.62,8441986,8049017,8902568,10013915,15732693,18558183,17839513,18592534,985,535976,708986,680870,607637,681553,602316,549236,562561,1320,1277,1137,1262,1190,1173,1023,1,1982,0,0,NA,18000,32500,51500,NA,8,14,NA,NA,NA,0,0,144,382537,236711,232722,233914,413215,196008,212322,197316,100,150,134,212,93,92,80,4396,4327,3040,3456,4279,4319,4243,0.42,0.43,0.31,0.310000002,0.38,0.45,0.45,0.25,0.31,0.35,0.37,0.05,1884,0.05,1111,592,531,2468,929,608,614,919,0.02,0.02,0.15,0.109999999,0.08,0.08,0.11
